date,equity
2020-02-12,15.802963270415264
2020-02-13,15.647333319866265
2020-02-14,15.580575368296847
2020-02-17,15.256399579067836
2020-02-18,15.042973660941383
2020-02-19,15.307840127328678
2020-02-20,15.578369104586821
2020-02-24,14.77018141634095
2020-02-25,14.562576675622715
2020-02-26,14.21182443701203
2020-02-27,14.033092210618774
2020-02-28,13.359486047654846
2020-03-02,13.402667444936297
2020-03-03,13.564842601411764
2020-03-04,13.262625079388789
2020-03-05,13.444141935124835
2020-03-06,13.34652053860325
2020-03-09,12.756208364364976
2020-03-11,12.65413035655949
2020-03-12,11.758631477615747
2020-03-13,11.808132139212878
2020-03-16,11.434420757194903
2020-03-17,11.352236839620373
2020-03-18,10.94317063710856
2020-03-19,10.719242424666497
2020-03-20,11.240480525418995
2020-03-23,10.171462663624043
2020-03-24,10.225734306847375
2020-03-25,10.43981390989725
2020-03-26,10.795534973559999
2020-03-27,10.690895570591147
2020-03-30,10.427361701417505
2020-03-31,10.7414757216162
2020-04-01,10.683902965218214
2020-04-03,10.478980772055175
2020-04-07,11.12618250444165
2020-04-08,11.2438685445131
2020-04-09,11.808801873679396
2020-04-13,12.067984959388635
2020-04-15,12.377493672454802
2020-04-16,12.683805419127438
2020-04-17,12.89705690459787
2020-04-20,13.07203399262772
2020-04-21,12.555045482305736
2020-04-22,12.895256459429602
2020-04-23,12.968761157914592
2020-04-24,12.496423214005913
2020-04-27,12.873146462108327
2020-04-28,12.847283808476407
2020-04-29,13.069359506013992
2020-04-30,13.07199315481995
2020-05-04,12.696079748732709
2020-05-05,12.722557815506494
2020-05-06,12.899875513261044
2020-05-07,13.004346599254538
2020-05-08,13.20208736284967
2020-05-11,13.33303742313084
2020-05-12,13.286537399574344
2020-05-13,13.26453981379312
2020-05-14,13.213106330624106
2020-05-15,13.237875901431826
2020-05-18,12.88462768908756
2020-05-19,13.076032503620397
2020-05-20,13.359668159189855
2020-05-21,13.64296164639039
2020-05-22,13.438024591152496
2020-05-26,13.44091788803603
2020-05-27,13.361790797949485
2020-05-28,13.39061662499161
2020-05-29,13.73298467023735
2020-06-01,14.059901330482937
2020-06-02,14.51228284034509
2020-06-03,14.609154812850871
2020-06-04,14.47468596870711
2020-06-05,14.611386885548356
2020-06-08,14.67877588929064
2020-06-09,14.787126368328536
2020-06-10,15.088699532849297
2020-06-11,15.02506749456743
2020-06-12,15.181757643916592
2020-06-15,15.48020166656327
2020-06-16,15.7833838500585
2020-06-17,15.851714010652689
2020-06-18,16.32559859219094
2020-06-19,16.72973817840757
2020-06-22,16.981325776897762
2020-06-23,17.6930931381289
2020-06-24,17.31626768958951
2020-06-25,16.842460860211474
2020-06-26,16.47423334631635
2020-06-29,16.089991657477736
2020-06-30,15.860509015337968
2020-07-01,15.888015392907802
2020-07-02,16.076518179908955
2020-07-03,16.349109916169006
2020-07-06,16.55432448637463
2020-07-07,16.732634373483016
2020-07-08,16.637249114408437
2020-07-09,16.946674342376927
2020-07-10,17.10387816726854
2020-07-13,17.286507846568515
2020-07-14,16.767451665201932
2020-07-15,17.08286096083527
2020-07-16,17.048422593469958
2020-07-17,17.381367137839394
2020-07-20,17.694076578041702
2020-07-21,17.999604855629613
2020-07-22,18.28189976928978
2020-07-23,18.368631641987882
2020-07-24,18.88997447327818
2020-07-27,18.44482723425382
2020-07-28,18.366646950600607
2020-07-29,18.250819821899782
2020-07-30,18.073048638202952
2020-07-31,18.34426199120733
2020-08-03,18.92371355420315
2020-08-04,19.231153277082406
2020-08-05,19.33891607097794
2020-08-06,19.47879768424574
2020-08-07,19.56828546308103
2020-08-10,20.100632519112146
2020-08-11,19.558051025619186
2020-08-12,19.49371641016922
2020-08-13,19.45066868924054
2020-08-14,19.284032824736986
2020-08-17,19.712346893561254
2020-08-18,19.959359816728156
2020-08-19,20.085559750025883
2020-08-20,20.306003852437254
2020-08-21,20.198026477961466
2020-08-24,20.715105176196417
2020-08-25,20.73479632159793
2020-08-26,20.762898901073203
2020-08-27,21.143310613512636
2020-08-28,21.218783904781507
2020-08-31,20.82920004516185
2020-09-01,21.543455305831998
2020-09-02,22.479143317831163
2020-09-03,22.9099645897454
2020-09-04,22.95177848358509
2020-09-07,23.41876182007013
2020-09-08,23.58472082083534
2020-09-09,24.029839814277647
2020-09-10,23.887793472030914
2020-09-11,23.79704852039131
2020-09-14,25.2451919536214
2020-09-15,25.738701086710506
2020-09-16,25.725533772053133
2020-09-17,25.34804861183331
2020-09-18,24.875856180779117
2020-09-21,24.04669681494884
2020-09-22,23.260172433958196
2020-09-23,23.28037809360822
2020-09-24,22.969120113081537
2020-09-25,24.09916605908652
2020-09-28,25.575047658343685
2020-09-29,25.850065066731343
2020-09-30,25.770794222280717
2020-10-01,25.85693294944395
2020-10-05,25.80375347293467
2020-10-06,25.65233315263434
2020-10-07,25.195917364405485
2020-10-08,24.92441890793642
2020-10-09,24.885520044100605
2020-10-12,24.82532885216328
2020-10-13,25.367714124625927
2020-10-14,25.658673516902475
2020-10-15,24.912327512009636
2020-10-16,25.391170162064284
2020-10-19,25.805436836128134
2020-10-20,25.954702724634863
2020-10-21,25.65356213977512
2020-10-22,26.065987795361426
2020-10-23,26.07460318362088
2020-10-26,25.956515318585335
2020-10-27,26.165687752472742
2020-10-28,26.171474680876123
2020-10-29,26.17789445232612
2020-10-30,26.82792760344726
2020-11-02,26.561482157645496
2020-11-03,26.381639728795676
2020-11-04,26.63213970149427
2020-11-05,27.015083952068732
2020-11-06,27.26636598552975
2020-11-09,27.539391278085173
2020-11-10,26.934458479385455
2020-11-11,27.208173750266358
2020-11-12,27.59867902300458
2020-11-13,28.19623881833436
2020-11-14,34.04110944461369
2020-11-17,27.159048263409247
2020-11-18,27.28563143371379
2020-11-19,27.012704200418728
2020-11-20,27.663711011214968
2020-11-23,28.59959277503791
2020-11-24,29.113720069158333
2020-11-25,28.44577898801112
2020-11-26,28.377597086144416
2020-11-27,29.55894661034696
2020-12-01,29.725456285235413
2020-12-02,29.496255286219057
2020-12-03,29.37284762576102
2020-12-04,29.442114797472925
2020-12-07,29.027124890416886
2020-12-08,29.183310848621776
2020-12-09,29.197557359110046
2020-12-10,29.112741439401113
2020-12-11,29.40998379736183
2020-12-14,29.450462404758888
2020-12-15,29.885022149805703
2020-12-16,30.204247899345162
2020-12-17,30.741401500888234
2020-12-18,30.618850734297997
2020-12-21,29.493582744081106
2020-12-22,29.889095395429585
2020-12-23,30.161325153859714
2020-12-24,30.37542108147152
2020-12-28,30.834638023544706
2020-12-29,30.63470852264077
2020-12-30,30.548430342963535
2020-12-31,30.555424237006832
2021-01-01,30.774663009390643
2021-01-04,30.944888318125283
2021-01-05,31.127899001151082
2021-01-06,31.062656208527947
2021-01-07,31.49942327049855
2021-01-08,30.976999347416093
2021-01-11,30.14218300662754
2021-01-12,30.29790192095775
2021-01-13,29.92981811632086
2021-01-14,30.6293055440581
2021-01-15,30.452092176028415
2021-01-18,30.37430141542801
2021-01-19,30.659569351779894
2021-01-20,30.521246351673625
2021-01-21,30.095049726970878
2021-01-22,29.459092757961788
2021-01-25,29.40169341393704
2021-01-27,29.272427335248565
2021-01-28,29.30351497220628
2021-01-29,29.044177563710345
2021-02-01,29.54410275598774
2021-02-02,30.048482331580555
2021-02-03,30.686369836261733
2021-02-04,32.238048962322395
2021-02-05,32.572776215095246
2021-02-08,32.69756687596064
2021-02-09,33.49196357085536
2021-02-10,33.719658984786605
2021-02-11,34.18823446331888
2021-02-12,33.28106962189426
2021-02-15,33.163521718629724
2021-02-16,33.6198412461847
2021-02-17,34.02689571324167
2021-02-18,35.25664807847253
2021-02-19,34.869935752956714
2021-02-22,35.204750713541245
2021-02-23,36.87236720385221
2021-02-24,36.248107303075635
2021-02-25,36.59436623474015
2021-02-26,36.33187418288946
2021-03-01,35.958144467292044
2021-03-02,35.924328706985634
2021-03-03,36.2623667363535
2021-03-04,36.72072495033146
2021-03-05,35.882676581942256
2021-03-08,35.88334162181676
2021-03-09,35.449731154176796
2021-03-10,36.397807184336614
